,Start_Time,Total_Accidents
1330,2019-09-05,73
1331,2019-09-06,44
1332,2019-09-07,47
1333,2019-09-08,51
1334,2019-09-09,63
1335,2019-09-10,60
1336,2019-09-11,76
1337,2019-09-12,77
1338,2019-09-13,107
1339,2019-09-14,53
1340,2019-09-15,48
1341,2019-09-16,94
1342,2019-09-17,93
1343,2019-09-18,72
1344,2019-09-19,40
1345,2019-09-20,107
1346,2019-09-21,45
1347,2019-09-22,32
1348,2019-09-23,87
1349,2019-09-24,90
1350,2019-09-25,93
1351,2019-09-26,73
1352,2019-09-27,87
1353,2019-09-28,61
1354,2019-09-29,38
1355,2019-09-30,73
1356,2019-10-01,74
1357,2019-10-02,85
1358,2019-10-03,88
1359,2019-10-04,92
1360,2019-10-05,30
1361,2019-10-06,46
1362,2019-10-07,83
1363,2019-10-08,71
1364,2019-10-09,83
1365,2019-10-10,112
1366,2019-10-11,77
1367,2019-10-12,51
1368,2019-10-13,55
1369,2019-10-14,88
1370,2019-10-15,58
1371,2019-10-16,97
1372,2019-10-17,74
1373,2019-10-18,79
1374,2019-10-19,43
1375,2019-10-20,47
1376,2019-10-21,97
1377,2019-10-22,91
1378,2019-10-23,68
1379,2019-10-24,94
1380,2019-10-25,73
1381,2019-10-26,126
1382,2019-10-27,35
1383,2019-10-28,62
1384,2019-10-29,71
1385,2019-10-30,78
1386,2019-10-31,109
1387,2019-11-01,77
1388,2019-11-02,35
1389,2019-11-03,33
1390,2019-11-04,80
1391,2019-11-05,100
1392,2019-11-06,86
1393,2019-11-07,103
1394,2019-11-08,105
1395,2019-11-09,39
1396,2019-11-10,29
1397,2019-11-11,110
1398,2019-11-12,108
1399,2019-11-13,92
1400,2019-11-14,58
1401,2019-11-15,46
1402,2019-11-16,30
1403,2019-11-17,11
1404,2019-11-18,43
1405,2019-11-19,46
1406,2019-11-20,34
1407,2019-11-21,35
1408,2019-11-22,43
1409,2019-11-23,20
1410,2019-11-24,15
1411,2019-11-25,31
1412,2019-11-26,21
1413,2019-11-27,22
